customer_id,product_name,product_category,price,quantity,total_price,purchase_date,shipping_address,payment_method,status
119,Mesh Laundry Bags Set,Home,622.85,77,47959.45,12/5/2022,67 Manitowish Road,credit card,delivered
120,Chocolate Avocado Pudding,Food - Desserts,11.49,24,275.76,5/14/2020,43 Eagan Junction,cash on delivery,delivered
121,Foldable Electric Scooter,Outdoor,504.42,63,31778.46,8/21/2022,6 Hintze Drive,PayPal,processing
122,Graphic Sweatshirt,Clothing - Tops,100.21,32,3206.72,12/14/2022,2 Elmside Pass,PayPal,delivered
123,Lemon Herb Quinoa,Food - Grains,387.6,54,20930.4,7/14/2021,63577 1st Place,cash on delivery,shipped
124,Beef Chili,Food - Canned Goods,518.58,47,24373.26,11/2/2022,2422 Sundown Court,cash on delivery,processing
125,Spicy Thai Chili Sauce,Food - Sauces,638.8,23,14692.4,7/19/2022,3 Canary Hill,PayPal,pending
126,Car Vacuum Cleaner,Automotive,330.37,89,29402.93,6/1/2020,2500 Roth Crossing,cash on delivery,shipped
127,Pita Bread,Food - Bakery,98.56,63,6209.28,3/31/2022,7 Elka Park,PayPal,pending
128,Tomato Basil Soup,Food - Canned Goods,971.13,19,18451.47,12/20/2022,4042 Oak Crossing,PayPal,pending
129,Peanut Butter Cookies,Food - Bakery,864.31,82,70873.42,5/8/2020,848 Aberg Crossing,credit card,delivered
130,Desk Organizer Set,Office,563.78,28,15785.84,4/30/2020,8480 Shasta Court,cash on delivery,pending
131,Sliced Bell Peppers,Food - Fresh Produce,450.36,100,45036.0,8/2/2021,3 Reinke Center,credit card,pending
132,Collapsible Colander,Kitchen,370.64,20,7412.8,7/28/2022,483 Transport Circle,PayPal,processing
133,Frozen Mixed Vegetables,Food - Frozen,465.14,35,16279.9,8/28/2020,033 Parkside Circle,cash on delivery,shipped
134,LED Christmas Lights,Home,160.06,63,10083.78,4/27/2020,95 Rockefeller Place,credit card,delivered
135,Roasted Red Pepper Hummus,Food - Dips,391.93,7,2743.51,3/16/2020,6 Porter Street,cash on delivery,delivered
136,Vegetable Sushi Rolls,Food - Prepared Meals,329.61,63,20765.43,3/6/2021,0106 Manufacturers Parkway,credit card,pending
137,Smart Home Hub,Smart Home,241.12,56,13502.72,3/1/2021,83715 Mifflin Street,cash on delivery,shipped
138,Multi-Port USB Hub,Electronics,429.06,67,28747.02,3/31/2021,76 High Crossing Plaza,PayPal,delivered
139,Coconut Milk Yogurt,Food - Dairy Alternatives,420.33,37,15552.21,12/2/2022,03 Maryland Drive,cash on delivery,pending
140,Veggie Lovers Pizza,Food - Frozen Foods,251.53,27,6791.31,10/11/2022,1 Kropf Court,cash on delivery,pending
141,Basketball,Sports,827.18,58,47976.44,12/15/2022,24733 Hayes Avenue,cash on delivery,processing
142,Emergency Preparedness Kit,Safety,771.13,32,24676.16,7/2/2021,622 Delladonna Point,PayPal,pending
143,Cat Tree with Scratching Posts,Pets,57.64,45,2593.8,5/11/2020,6 Susan Junction,cash on delivery,processing
144,Savory Breakfast Sausage,Food - Meats,975.55,85,82921.75,11/22/2021,08414 Veith Court,credit card,pending
145,Vanilla Protein Powder,Food - Health/Protein,214.54,31,6650.74,11/10/2020,426 Pawling Lane,credit card,delivered
146,Electric Griddle with Removable Plates,Kitchen,947.88,49,46446.12,12/10/2020,5 Thompson Parkway,cash on delivery,shipped
147,Kids' Activity Book,Books,417.43,77,32142.11,3/20/2020,2856 Shasta Center,PayPal,delivered
148,Vegetable Korma,Food - Frozen,679.18,35,23771.3,7/13/2021,08 Stone Corner Drive,cash on delivery,delivered
149,Protein Pancake Mix,Food - Breakfast,63.94,100,6394.0,2/21/2020,85216 Butterfield Point,credit card,shipped
150,Strawberry Fruit Spread,Food - Jams & Jellies,429.73,83,35667.59,11/29/2020,31 Toban Center,PayPal,pending
151,Stainless Steel Straws,Kitchen,515.67,70,36096.9,8/15/2020,84 Truax Parkway,PayPal,shipped
152,Breathable Face Mask Set,Health,596.06,19,11325.14,6/27/2020,961 Mallory Way,PayPal,pending
153,Bock Beer Mustard,Food - Condiments,589.82,3,1769.46,5/26/2021,003 Atwood Center,cash on delivery,pending
154,Scented Soy Candles,Home,195.72,98,19180.56,4/4/2021,227 Anhalt Terrace,cash on delivery,delivered
155,Sesame Noodles,Food - Grab-and-Go,756.74,87,65836.38,10/16/2021,54 Alpine Court,PayPal,delivered
156,Pet First Aid Kit,Pets,83.17,60,4990.2,4/18/2022,43589 Eagle Crest Terrace,PayPal,shipped
157,Black Olives,Food - Canned Goods,508.44,1,508.44,5/18/2021,7688 Ramsey Pass,credit card,processing
158,Cable Knit Cardigan,Clothing - Outerwear,534.94,14,7489.16,11/8/2020,97 Westerfield Junction,cash on delivery,pending
159,Wall-Mounted Organizer,Home,299.0,92,27508.0,8/15/2022,8941 Morningstar Street,credit card,processing
160,Sriracha Hot Chili Sauce,Food - Condiments,179.65,61,10958.65,2/16/2020,96 Hanson Place,credit card,pending
161,Fitness Resistance Bands Kit,Fitness,454.39,62,28172.18,2/13/2022,725 Tony Drive,PayPal,pending
162,Outdoor Sports Backpack,Outdoor,756.45,61,46143.45,8/1/2020,9 Carioca Lane,cash on delivery,pending
163,Spicy Tuna Sushi Kit,Food - Prepared Meals,721.93,55,39706.15,7/11/2021,941 Huxley Street,PayPal,shipped
164,Marinated Artichokes,Food - Vegetables,165.7,2,331.4,4/16/2020,37 Ridgeview Center,credit card,processing
165,Interactive Robot Toy,Toys,13.96,58,809.68,11/13/2021,2 Namekagon Terrace,credit card,pending
166,Green Smoothie Mix,Food - Beverages,978.98,32,31327.36,9/10/2020,76368 Jay Park,PayPal,pending
167,Vegetable Quinoa Bowl,Food - Frozen Meals,977.7,39,38130.3,4/1/2022,282 Stone Corner Center,credit card,processing
168,Almond Flour Cookies,Food - Bakery,399.02,17,6783.34,1/13/2022,666 Westport Lane,cash on delivery,pending
169,Feta Cheese Crumbles,Food - Dairy,985.73,83,81815.59,5/3/2022,8 Mcguire Terrace,PayPal,shipped
170,Chia Seeds,Food - Grains,460.03,85,39102.55,9/6/2020,805 Farwell Alley,PayPal,pending
171,Tabletop Fire Pit,Outdoor,600.7,100,60070.0,6/27/2022,778 Dorton Park,credit card,delivered
172,Survival Gear Kit,Outdoor,964.39,71,68471.69,10/12/2022,4808 Caliangt Place,credit card,delivered
173,Sports Water Bottle with Infuser,Fitness,938.31,61,57236.91,9/16/2021,7 Ramsey Terrace,cash on delivery,pending
174,Peach Fruit Cups,Food - Snacks,808.45,43,34763.35,6/18/2020,3 Northview Center,credit card,shipped
175,Canvas High-Top Sneakers,Clothing - Footwear,21.05,17,357.85,11/17/2021,7 Doe Crossing Lane,PayPal,pending
176,Rechargeable Electric Toothbrush,Health,31.88,83,2646.04,5/19/2020,053 Portage Terrace,cash on delivery,shipped
177,Graphic Sweatshirt,Clothing - Tops,535.74,63,33751.62,3/18/2022,263 Rowland Center,cash on delivery,delivered
178,Yoga Mat Carrier,Fitness,745.31,8,5962.48,10/3/2021,6 1st Park,cash on delivery,processing
179,Roasted Garlic Pasta Sauce,Food - Sauces,571.97,33,18875.01,8/1/2020,2 Monterey Hill,cash on delivery,pending
180,Indoor Grill,Kitchen,65.81,63,4146.03,6/28/2021,1 Kipling Place,credit card,processing
181,Silicone Cooking Utensils Set,Kitchen,496.78,70,34774.6,5/18/2022,15 Hanson Terrace,cash on delivery,shipped
182,Buffalo Wing Sauce,Food - Condiments,759.21,2,1518.42,3/6/2021,9 South Court,credit card,processing
183,Balsamic Vinegar,Food - Condiments,631.93,2,1263.86,2/27/2020,9931 Lyons Center,credit card,pending
184,Spicy Vegetable Sushi Rolls,Food - Prepared Foods,10.84,24,260.16,10/12/2020,2491 Lotheville Hill,cash on delivery,pending
185,Cork Yoga Mat,Fitness,311.52,79,24610.08,3/22/2021,0402 Prairieview Avenue,cash on delivery,processing
186,Self-Cleaning Water Bottle,Fitness,45.35,22,997.7,2/22/2022,343 Southridge Park,PayPal,pending
187,Trainers with Mesh Inserts,Clothing - Footwear,540.93,71,38406.03,10/15/2021,52 5th Road,credit card,shipped
188,LED Desk Lamp with USB Charging,Office,317.47,65,20635.55,12/4/2021,12 Cherokee Junction,PayPal,pending
189,Beef Enchilada Casserole,Food - Prepared Meals,806.35,30,24190.5,3/22/2020,8429 Mifflin Pass,credit card,shipped
190,Bicycle Repair Kit,Outdoor,14.23,94,1337.62,12/11/2021,6 Hauk Plaza,credit card,delivered
191,Fall-Themed Table Runner,Home,918.1,75,68857.5,1/3/2020,145 Pawling Pass,credit card,shipped
192,Ankle Boots,Clothing - Footwear,640.0,11,7040.0,8/25/2021,934 Logan Alley,PayPal,shipped
193,Frozen Hash Browns,Food - Frozen Foods,719.78,46,33109.88,2/7/2022,4479 Cherokee Center,PayPal,pending
194,Mango Chia Pudding,Food - Snacks,618.53,21,12989.13,10/31/2021,18304 Cascade Street,cash on delivery,processing
195,Eco-Friendly Yoga Mat,Fitness,488.48,49,23935.52,2/8/2021,62659 Monument Plaza,cash on delivery,shipped
196,Red Lentil Pasta,Food - Pasta,227.01,43,9761.43,10/17/2020,2 Mesta Road,credit card,processing
197,Dark Chocolate Tart,Food - Desserts,595.99,88,52447.12,9/28/2022,2041 Crescent Oaks Alley,credit card,delivered
198,Frozen Edamame,Food - Frozen Foods,197.92,76,15041.92,8/26/2020,3 Gale Hill,PayPal,shipped
199,Classic White T-Shirt,Clothing - Tops,163.26,93,15183.18,2/5/2022,2 Clyde Gallagher Drive,cash on delivery,shipped
200,Buffalo Chicken Dip,Food - Dips,228.47,84,19191.48,9/25/2021,20 Annamark Drive,PayPal,shipped
201,Thai Peanut Dressing,Food - Condiments,215.71,2,431.42,4/17/2020,64 Karstens Lane,credit card,processing
202,Eco-Friendly Yoga Mat,Fitness,489.0,7,3423.0,11/11/2022,34 Burrows Drive,credit card,pending
203,Insulated Coffee Mug,Kitchen,592.75,88,52162.0,1/28/2022,182 Village Green Lane,PayPal,processing
204,Herbed Goat Cheese,Food - Cheese,793.13,64,50760.32,12/24/2020,0 Nevada Drive,cash on delivery,shipped
205,Beef Enchilada Casserole,Food - Prepared Meals,659.24,89,58672.36,8/5/2020,930 Kenwood Lane,PayPal,pending
206,Savory Oatmeal,Food - Breakfast,725.96,28,20326.88,4/25/2021,8088 Petterle Avenue,cash on delivery,pending
207,Popcorn Chicken,Food - Frozen,477.34,9,4296.06,2/10/2021,48 Acker Street,PayPal,pending
208,Kettle Chip Variety Pack,Food - Snacks,393.83,18,7088.94,12/17/2021,5 Delladonna Place,credit card,shipped
209,Vegetable Lasagna,Food - Frozen Foods,194.77,59,11491.43,1/12/2021,77 Mosinee Parkway,cash on delivery,shipped
210,Dish Rack,Kitchen,959.65,57,54700.05,2/11/2020,49428 Crownhardt Circle,PayPal,processing
211,Slim Wallet,Accessories,620.06,69,42784.14,3/24/2021,97594 Clove Plaza,credit card,delivered
212,Mango Chunks,Food - Frozen Fruits,399.14,26,10377.64,3/1/2020,385 Harbort Drive,cash on delivery,shipped
213,Adjustable Bar Stools,Furniture,353.87,72,25478.64,10/4/2022,2 Miller Center,credit card,delivered
214,Over-The-Door Shoe Organizer,Home,311.82,70,21827.4,7/27/2021,276 Hoard Drive,credit card,shipped
215,Peanut Butter Pretzel Bites,Food - Snacks,468.96,85,39861.6,3/9/2020,7473 Anhalt Center,PayPal,shipped
216,Infrared Space Heater,Home Appliances,160.71,20,3214.2,1/24/2020,5004 Prairie Rose Drive,cash on delivery,delivered
217,Miso Soup Starter,Food - Soups,289.77,14,4056.78,4/25/2020,64 Knutson Trail,credit card,delivered
218,Fitness Resistance Bands Set,Fitness,621.74,72,44765.28,11/16/2021,1187 Morrow Pass,cash on delivery,shipped
219,Herb Drying Rack,Garden,888.42,5,4442.1,6/25/2020,41 Burrows Terrace,cash on delivery,processing
220,Camera Tripod,Photography,584.37,23,13440.51,4/21/2021,10 Anthes Plaza,PayPal,pending
221,Flavored Popcorn Mix,Food - Snacks,613.83,10,6138.3,12/27/2021,3 Pleasure Plaza,credit card,processing
222,Savory Italian Herbs,Food - Spices,105.07,9,945.63,12/26/2020,012 Packers Alley,PayPal,delivered
223,Dark Chocolate Tart,Food - Desserts,728.97,17,12392.49,5/21/2022,06836 Forest Dale Place,credit card,shipped
224,Pet Activity Tracker,Pets,432.67,52,22498.84,10/3/2020,8415 7th Point,cash on delivery,pending
225,Zesty Cilantro Lime Dressing,Food - Condiments,735.1,51,37490.1,6/26/2020,59 Grayhawk Avenue,PayPal,delivered
226,Manual Coffee Grinder,Kitchen,661.13,36,23800.68,12/16/2021,6 Claremont Parkway,PayPal,delivered
227,Frozen Spinach,Food - Frozen Foods,141.91,28,3973.48,8/14/2021,72722 Holmberg Drive,PayPal,delivered
228,Gardening Kneeler and Seat,Garden,426.39,98,41786.22,1/23/2020,87560 Riverside Road,cash on delivery,processing
229,Italian Marinara Sauce,Food - Sauces,919.08,50,45954.0,6/23/2021,56 Anniversary Junction,cash on delivery,processing
230,Chocolate Mint Protein Shake,Food - Beverages,395.03,3,1185.09,7/7/2022,592 Bobwhite Park,credit card,processing
231,Marinara Sauce,Food - Condiments,866.01,40,34640.4,11/29/2020,94 Hazelcrest Junction,PayPal,shipped
232,Multi-Function Meat Tenderizer,Kitchen,75.02,58,4351.16,2/6/2020,41887 Algoma Alley,cash on delivery,delivered
233,Dark Chocolate Raisins,Food - Snacks,421.45,45,18965.25,3/19/2021,48 School Terrace,PayPal,shipped
234,Classic Pesto Sauce,Food - Sauces,277.13,39,10808.07,2/24/2022,7 Butternut Circle,PayPal,processing
235,Portable SSD,Storage,316.31,60,18978.6,4/8/2022,53425 Vernon Alley,credit card,processing
236,Electric Food Slicer,Kitchen,995.76,41,40826.16,8/16/2021,448 Mcbride Terrace,PayPal,processing
237,Electric Butter Churn,Kitchen,477.06,57,27192.42,8/26/2020,78939 Melby Park,credit card,pending
238,Artisan Flatbreads,Food - Bakery,248.68,69,17158.92,11/24/2020,20 Schmedeman Junction,cash on delivery,shipped
239,Pet Activity Tracker,Pets,348.37,44,15328.28,7/5/2021,5026 North Trail,cash on delivery,pending
